epoch,accuracy,loss,val_accuracy,val_loss
0,0.5562499761581421,0.991723358631134,0.6499999761581421,1.403996467590332
1,0.862500011920929,0.42182064056396484,0.5,10.866986274719238
2,0.518750011920929,8.55840015411377,0.800000011920929,0.46101313829421997
3,0.96875,0.11611349880695343,0.75,0.5669814944267273
4,0.949999988079071,0.12242529541254044,0.699999988079071,0.7797707915306091
5,0.9624999761581421,0.10438420623540878,0.699999988079071,0.6347861289978027
6,0.9750000238418579,0.06470057368278503,0.800000011920929,0.5567878484725952
7,1.0,0.02006032131612301,0.800000011920929,0.5121294260025024
8,1.0,0.017989609390497208,0.800000011920929,0.493766725063324
9,1.0,0.012904462404549122,0.8500000238418579,0.48922643065452576
10,1.0,0.015436895191669464,0.8500000238418579,0.4673793911933899
11,1.0,0.009728382341563702,0.8500000238418579,0.46483325958251953
12,1.0,0.009315510280430317,0.8500000238418579,0.4635651111602783
13,1.0,0.007702775299549103,0.8500000238418579,0.457829087972641
14,1.0,0.006742212921380997,0.8500000238418579,0.4596420228481293
15,1.0,0.005670212209224701,0.8500000238418579,0.45531144738197327
16,1.0,0.005134265869855881,0.8500000238418579,0.4571639597415924
17,1.0,0.004392254166305065,0.8500000238418579,0.4548413157463074
18,1.0,0.003724177135154605,0.8500000238418579,0.45344191789627075
19,1.0,0.003369166748598218,0.800000011920929,0.45033353567123413
20,1.0,0.00245346175506711,0.800000011920929,0.44861704111099243
21,1.0,0.0026223112363368273,0.8500000238418579,0.4487118721008301
22,1.0,0.0027449356857687235,0.8500000238418579,0.44681376218795776
23,1.0,0.002793407766148448,0.8500000238418579,0.44767969846725464
24,1.0,0.0020213243551552296,0.8500000238418579,0.4465957283973694
25,1.0,0.001724803471006453,0.800000011920929,0.44468432664871216
26,1.0,0.0018915565451607108,0.8500000238418579,0.44440093636512756
27,1.0,0.001530889654532075,0.8500000238418579,0.4437204897403717
28,1.0,0.0014398423954844475,0.8500000238418579,0.44598865509033203
29,1.0,0.0011983063304796815,0.8500000238418579,0.4470381736755371
30,1.0,0.0009782352717593312,0.8500000238418579,0.4480377733707428
31,1.0,0.001158842002041638,0.8500000238418579,0.4488980174064636
32,1.0,0.000937612378038466,0.8500000238418579,0.44933828711509705
33,1.0,0.000980995362624526,0.8500000238418579,0.44999679923057556
34,1.0,0.0009163495269604027,0.8500000238418579,0.4503016471862793
35,1.0,0.0007928509148769081,0.8500000238418579,0.4506053328514099
36,1.0,0.0007339230505749583,0.8500000238418579,0.450245201587677
37,1.0,0.0008323659421876073,0.8500000238418579,0.45017123222351074
38,1.0,0.0006774832727387547,0.8500000238418579,0.4507288932800293
39,1.0,0.0006222066003829241,0.8500000238418579,0.4516526162624359
40,1.0,0.0006021706503815949,0.8500000238418579,0.45218625664711
41,1.0,0.0005247090593911707,0.8500000238418579,0.45254388451576233
42,1.0,0.000495379266794771,0.8500000238418579,0.4533712863922119
43,1.0,0.0005124073359183967,0.8500000238418579,0.45311832427978516
44,1.0,0.0005110352649353445,0.8500000238418579,0.45437049865722656
45,1.0,0.0003955237625632435,0.8500000238418579,0.4551873207092285
46,1.0,0.0004822075425181538,0.8500000238418579,0.4561914801597595
47,1.0,0.0004791629617102444,0.8500000238418579,0.45726674795150757
48,1.0,0.00037828536005690694,0.8500000238418579,0.4578472077846527
49,1.0,0.0004566959978546947,0.8500000238418579,0.4580937325954437
50,1.0,0.0003279952215962112,0.8500000238418579,0.4587704539299011
51,1.0,0.00034782307920977473,0.8500000238418579,0.4592820703983307
52,1.0,0.00030626877560280263,0.8500000238418579,0.4594927728176117
53,1.0,0.0003327260201331228,0.8500000238418579,0.45927801728248596
54,1.0,0.00029407633701339364,0.8500000238418579,0.4600229263305664
55,1.0,0.0002857953659258783,0.8500000238418579,0.46036046743392944
56,1.0,0.00028515077428892255,0.8500000238418579,0.4600042402744293
57,1.0,0.00034965682425536215,0.8500000238418579,0.4601520597934723
58,1.0,0.00028797457343898714,0.8500000238418579,0.46061086654663086
59,1.0,0.0002913499192800373,0.8500000238418579,0.4611362814903259
60,1.0,0.0002853672776836902,0.8500000238418579,0.4614059031009674
61,1.0,0.000347900262568146,0.8500000238418579,0.4609384536743164
62,1.0,0.0002479892282281071,0.8500000238418579,0.4606143832206726
63,1.0,0.00022129349235910922,0.8500000238418579,0.46069279313087463
64,1.0,0.00025349477073177695,0.8500000238418579,0.4597395956516266
65,1.0,0.00025189973530359566,0.8500000238418579,0.46007856726646423
66,1.0,0.0002283535141032189,0.8500000238418579,0.4605296552181244
67,1.0,0.0002636168501339853,0.8500000238418579,0.46100306510925293
68,1.0,0.00019308910123072565,0.8500000238418579,0.4610345959663391
69,1.0,0.00018908192578237504,0.8500000238418579,0.4610023498535156
70,1.0,0.0002297986065968871,0.8500000238418579,0.4608302116394043
71,1.0,0.00024299160577356815,0.8500000238418579,0.4609465003013611
72,1.0,0.0002290817501489073,0.8500000238418579,0.4606594145298004
73,1.0,0.00020101673726458102,0.8500000238418579,0.46066349744796753
74,1.0,0.00021232999279163778,0.8500000238418579,0.460674911737442
75,1.0,0.000198470035684295,0.8500000238418579,0.4606824517250061
76,1.0,0.00018212606664747,0.8500000238418579,0.46052879095077515
77,1.0,0.00018189042748417705,0.8500000238418579,0.46045321226119995
78,1.0,0.00018260287470184267,0.8500000238418579,0.4603230357170105
79,1.0,0.00023341047926805913,0.8500000238418579,0.4599110186100006
80,1.0,0.00017517570813652128,0.8500000238418579,0.45999154448509216
81,1.0,0.00017127276805695146,0.8500000238418579,0.45977845788002014
82,1.0,0.00015995716967154294,0.8500000238418579,0.45998987555503845
